"id","decoration_name","mission_name","is_medal","is_ribbon"
"ribbon_medal_decoration_jesthata_1","Seniority1","Jesthata 1",1,1
"ribbon_medal_decoration_jesthata_2","seniority2","Jesthata 2",1,1
"ribbon_medal_decoration_jesthata_3","Seniority3","Jesthata 3",1,1
"ribbon_medal_decoration_1991_election","Election1991","1991 Election",1,1
"ribbon_medal_decoration_2001_election","Election2001","2001 Election",1,1
"ribbon_medal_decoration_1996_election","Election1996","1996 Election",1,1
"ribbon_medal_decoration_shadhinata","Shadhinota","Shadhinata",1,1
"ribbon_medal_decoration_bpm_sheba","BPM (sheba)","BPM sheba",1,1
"ribbon_medal_decoration_bpm","BPM","BPM",1,1
"ribbon_medal_decoration_ppm_sheba","PPM (Sheba)","PPM Sheba",1,1
"ribbon_medal_decoration_ig-a","IG Badge A","IG-A",1,1
"ribbon_medal_decoration_ig-b","IG Badge B","IG-B",1,1
"ribbon_medal_decoration_ig-c","IG Badge C","IG-C",1,1
"ribbon_medal_decoration_ig-d","IG Badge D","IG-D",1,1
"ribbon_medal_decoration_ig-e","IG Badge E","IG-E",1,1
"ribbon_medal_decoration_ig-f","IG Badge F","IG-F",1,1
"ribbon_medal_decoration_ppm","PPM","PPM",1,1
"ribbon_medal_decoration_rajat_jayanti","Rajat Jayanti","Rajat Jayanti",1,1
"ribbon_medal_decoration_plabon_1988","Plabon 1988","Plabon 1988",1,1
"ribbon_medal_decoration_bijoy_padak__1971","Bijoy Padak  1971","Bijoy Padak  1971",1,1
"ribbon_medal_decoration_shongbidhan","Shongbidhan","Shongbidhan",1,1
"ribbon_medal_decoration_nirapotta","Nirapotta","Nirapotta",1,1
"ribbon_medal_decoration_unmih","Haiti","UNMIH",1,1
"ribbon_medal_decoration_rono_taroka","Rono taroka","Rono taroka",1,1
"ribbon_medal_decoration_mukti_taroka","mukti Taroka","mukti Taroka",1,1
"ribbon_medal_decoration_sarada","sarada","sarada",1,1
"ribbon_medal_decoration_unmik","kosovo","UNMIK",1,1
"ribbon_medal_decoration_monua","Angola","MONUA",1,1
"ribbon_medal_decoration_unmibh","Bosnia Harjegovina","UNMIBH",1,1
"ribbon_medal_decoration_unamic","Cambodia 91-92","UNAMIC",1,1
"ribbon_medal_decoration_untac","Cambodia 92-93","UNTAC",1,1
"ribbon_medal_decoration_monusco","Congo","MONUSCO",1,1
"ribbon_medal_decoration_uncro","Croatia","UNCRO",1,1
"ribbon_medal_decoration_unamid","Darfur","UNAMID",1,1
"ribbon_medal_decoration_onusal","El Salvador","ONUSAL",1,1
"ribbon_medal_decoration_unmee","Eritria","UNMEE",1,1
"ribbon_medal_decoration_unmee","Ethiopia","UNMEE",1,1
"ribbon_medal_decoration_unomig","Georzia","UNOMIG",1,1
"ribbon_medal_decoration_mingua","Guatemala","MINGUA",1,1
"ribbon_medal_decoration_minustah","Haiti","MINUSTAH",1,1
"ribbon_medal_decoration_unimog","Iran Irak","UNIMOG",1,1
"ribbon_medal_decoration_unimog","Irak Iran","UNIMOG",1,1
"ribbon_medal_decoration_unikom","Kuwait","UNIKOM",1,1
"ribbon_medal_decoration_unifil","Lebanon","UNIFIL",1,1
"ribbon_medal_decoration_unomil","Liberia","UNOMIL",1,1
