id,sequence,service_age,force_id/id,rule_category_id/id,name,ribbon_id/id,medal_id/id,mission_name,is_medal,is_ribbon,starting_date
ribbon_medal_prb_jesthata_1,9003,10,ribbon_medal.force_police,rule_category_seniority,Seniority1,ribbon_medal_decoration_jesthata_1,ribbon_medal_decoration_jesthata_1,Jesthata 1,1,1,
ribbon_medal_prb_jesthata_2,9002,20,ribbon_medal.force_police,rule_category_seniority,seniority2,ribbon_medal_decoration_jesthata_2,ribbon_medal_decoration_jesthata_2,Jesthata 2,1,1,
ribbon_medal_prb_jesthata_3,9001,27,ribbon_medal.force_police,rule_category_seniority,Seniority3,ribbon_medal_decoration_jesthata_3,ribbon_medal_decoration_jesthata_3,Jesthata 3,1,1,
ribbon_medal_prb_1991_election,6006,0,ribbon_medal.force_police,rule_category_batch,Election1991,ribbon_medal_decoration_1991_election,ribbon_medal_decoration_1991_election,1991 Election,1,1,1991-02-27
ribbon_medal_prb_2001_election,6004,0,ribbon_medal.force_police,rule_category_batch,Election2001,ribbon_medal_decoration_2001_election,ribbon_medal_decoration_2001_election,2001 Election,1,1,2001-1-1
ribbon_medal_prb_1996_election,6005,0,ribbon_medal.force_police,rule_category_batch,Election1996,ribbon_medal_decoration_1996_election,ribbon_medal_decoration_1996_election,1996 Election,1,1,1996-1-1
ribbon_medal_prb_shadhinata,7000,1,ribbon_medal.force_police,rule_category_seniority,Shadhinota,ribbon_medal_decoration_shadhinata,ribbon_medal_decoration_shadhinata,Shadhinata,1,1,
ribbon_medal_prb_bpm_sheba,1002,0,ribbon_medal.force_police,rule_category_special,BPM (sheba),ribbon_medal_decoration_bpm_sheba,ribbon_medal_decoration_bpm_sheba,BPM sheba,1,1,
ribbon_medal_prb_bpm,1001,0,ribbon_medal.force_police,rule_category_special,BPM,ribbon_medal_decoration_bpm,ribbon_medal_decoration_bpm,BPM,1,1,
ribbon_medal_prb_ppm_sheba,2002,0,ribbon_medal.force_police,rule_category_special,PPM (Sheba),ribbon_medal_decoration_ppm_sheba,ribbon_medal_decoration_ppm_sheba,PPM Sheba,1,1,
ribbon_medal_prb_ig-a,7501,0,ribbon_medal.force_police,rule_category_special,IG Badge A,ribbon_medal_decoration_ig-a,ribbon_medal_decoration_ig-a,IG-A,1,1,
ribbon_medal_prb_ig-b,7502,0,ribbon_medal.force_police,rule_category_special,IG Badge B,ribbon_medal_decoration_ig-b,ribbon_medal_decoration_ig-b,IG-B,1,1,
ribbon_medal_prb_ig-c,7503,0,ribbon_medal.force_police,rule_category_special,IG Badge C,ribbon_medal_decoration_ig-c,ribbon_medal_decoration_ig-c,IG-C,1,1,
ribbon_medal_prb_ig-d,7504,0,ribbon_medal.force_police,rule_category_special,IG Badge D,ribbon_medal_decoration_ig-d,ribbon_medal_decoration_ig-d,IG-D,1,1,
ribbon_medal_prb_ig-e,7506,0,ribbon_medal.force_police,rule_category_special,IG Badge E,ribbon_medal_decoration_ig-e,ribbon_medal_decoration_ig-e,IG-E,1,1,
ribbon_medal_prb_ig-f,7505,0,ribbon_medal.force_police,rule_category_special,IG Badge F,ribbon_medal_decoration_ig-f,ribbon_medal_decoration_ig-f,IG-F,1,1,
ribbon_medal_prb_ppm,2001,0,ribbon_medal.force_police,rule_category_special,PPM,ribbon_medal_decoration_ppm,ribbon_medal_decoration_ppm,PPM,1,1,
ribbon_medal_prb_rajat_jayanti,8000,1,ribbon_medal.force_police,rule_category_seniority,Rajat Jayanti,ribbon_medal_decoration_rajat_jayanti,ribbon_medal_decoration_rajat_jayanti,Rajat Jayanti,1,1,
ribbon_medal_prb_plabon_1988,5000,0,ribbon_medal.force_army,rule_category_special,Plabon 1988,ribbon_medal_decoration_plabon_1988,ribbon_medal_decoration_plabon_1988,Plabon 1988,1,1,
