id,name,force_id/id
ribbon_medal.unit_police_dmp_hq,DMP Headquarters,ribbon_medal.force_police
ribbon_medal.unit_police_dhaka_range,Dhaka Range,ribbon_medal.force_police
ribbon_medal.unit_police_ip2,Industrial Police 2,ribbon_medal.force_police
ribbon_medal.unit_police_ip3,Industrial Police 3,ribbon_medal.force_police
ribbon_medal.unit_police_ip4,Industrial Police 4,ribbon_medal.force_police
ribbon_medal.unit_police_ip5,Industrial Police 5,ribbon_medal.force_police
ribbon_medal.unit_police_ipphq,Industrial Police Headquarters,ribbon_medal.force_police
ribbon_medal.unit_police_nabinagar_dhaka,Nabi nagar Thana,ribbon_medal.force_police
ribbon_medal.unit_police_paltan_dmp,Paltan Thana,ribbon_medal.force_police
ribbon_medal.unit_police_phq,Police Headquarters,ribbon_medal.force_police
ribbon_medal.unit_police_munshiganj_district,SP Munhigonj,ribbon_medal.force_police
ribbon_medal.unit_police_dhaka_district,"SP, Dhaka",ribbon_medal.force_police
ribbon_medal.unit_police_savar_dhaka,Savar Thana,ribbon_medal.force_police
ribbon_medal.unit_police_shirajdikhan_munshigonj,Shirajdikhan Thana,ribbon_medal.force_police
ribbon_medal.unit_police_sreenagar_munshigonj,Sree nagar Thana,ribbon_medal.force_police
ribbon_medal.unit_police_tongibari_munshigonj,Tongibari Thana,ribbon_medal.force_police
ribbon_medal.unit_police_wari_zone_dmp,Wari Zone,
